,blue_team,red_team,result
5962,Bilibili Gaming Junior,Shu Dai Xiong Gaming,1
5963,JingNetGame,Dominus Esports Young,1
5964,Bilibili Gaming Junior,Shu Dai Xiong Gaming,1
5965,JingNetGame,Dominus Esports Young,0
5966,RunAway,ESC Shane,0
5967,Dominus Esports Young,JingNetGame,0
5968,Legend Esport Gaming,Top Esports Challenger,0
5969,Awesome Spear,Jin Air Green Wings,0
5970,Legend Esport Gaming,Top Esports Challenger,1
5971,Young Miracles,eStar Young,0
5972,Jin Air Green Wings,Awesome Spear,1
5973,Legend Esport Gaming,Top Esports Challenger,1
5974,eStar Young,Young Miracles,1
5975,Iron Wolves,Iron Wolves,0
5976,SAMCLAN Esports Club,SAMCLAN Esports Club,1
5977,LDLC OL,G2 Arctic,1
5978,7more7 Pompa Team,Five Kings,0
5979,CR4ZY,LowLandLions,1
5980,Racoon,Racoon,1
5981,Sector One,Sector One,0
5982,SINNERS Esports,Intrepid Fox Gaming,0
5983,LowLandLions,LDLC OL,0
5984,Racoon,Racoon,1
5985,Iron Wolves,Iron Wolves,0
5986,Intrepid Fox Gaming,7more7 Pompa Team,0
5987,G2 Arctic,CR4ZY,0
5988,Riddle Esports,Team GamerLegion,1
5989,SAMCLAN Esports Club,Sector One,0
5990,Five Kings,SINNERS Esports,0
5991,LDLC OL,CR4ZY,1
5992,eSuba,Team GamerLegion,0
5993,Iron Wolves,Sector One,0
5994,SINNERS Esports,7more7 Pompa Team,0
5995,G2 Arctic,LowLandLions,1
5996,SAMCLAN Esports Club,SAMCLAN Esports Club,0
5997,Racoon,Racoon,1
5998,Intrepid Fox Gaming,Five Kings,1
5999,LowLandLions,CR4ZY,0
6000,Intrepid Fox Gaming,Intrepid Fox Gaming,1
6001,SINNERS Esports,SINNERS Esports,0
6002,EGN Esports,Team GamerLegion,0
6003,Riddle Esports,eSuba,1
6004,G2 Arctic,LDLC OL,0
6005,Five Kings,Five Kings,0
6006,7more7 Pompa Team,7more7 Pompa Team,1
6007,EGN Esports,Riddle Esports,0
6008,Five Kings,Five Kings,1
6009,Intrepid Fox Gaming,Intrepid Fox Gaming,0
6010,Sector One,SAMCLAN Esports Club,1
6011,Team GamerLegion,eSuba,1
6012,7more7 Pompa Team,7more7 Pompa Team,1
6013,SINNERS Esports,SINNERS Esports,0
6014,LowLandLions,G2 Arctic,0
6015,eSuba,EGN Esports,1
6016,CR4ZY,G2 Arctic,0
6017,7more7 Pompa Team,Intrepid Fox Gaming,0
6018,Sector One,Iron Wolves,1
6019,Team GamerLegion,Riddle Esports,1
6020,LDLC OL,LowLandLions,1
6021,Racoon,SAMCLAN Esports Club,1
6022,SINNERS Esports,Five Kings,1
6023,Team GamerLegion,Riddle Esports,1
6024,G2 Arctic,CR4ZY,1
6025,Intrepid Fox Gaming,7more7 Pompa Team,1
6026,LGD Gaming Young Team,Royal Club,0
6027,LGD Gaming Young Team,Royal Club,0
6028,WanZhen Esports Club,Oh My Dream,0
6029,Team WE Academy,FunPlus Phoenix Blaze,1
6030,Oh My Dream,WanZhen Esports Club,0
6031,FunPlus Phoenix Blaze,Team WE Academy,1
6032,WanZhen Esports Club,Oh My Dream,1
6033,Team WE Academy,FunPlus Phoenix Blaze,1
6034,GAM Esports,CERBERUS Esports,1
6035,LinGan e-Sports,EDG Youth Team,0
